light_phase_region_area_px,light_phase_region_area_um2
917039.0,112337.27749999998
55.0,6.737499999999999
63.0,7.717499999999999
80.0,9.799999999999999
37.0,4.5325
404.0,49.489999999999995
13.0,1.5924999999999998
52.0,6.369999999999999
2.0,0.24499999999999997
4.0,0.48999999999999994
2.0,0.24499999999999997
6.0,0.7349999999999999
2.0,0.24499999999999997
6.0,0.7349999999999999
11.0,1.3475
36.0,4.409999999999999
5.0,0.6124999999999999
9.0,1.1024999999999998
2.0,0.24499999999999997
2.0,0.24499999999999997
27.0,3.3074999999999997
6.0,0.7349999999999999
2.0,0.24499999999999997
15.0,1.8374999999999997
4.0,0.48999999999999994
24.0,2.9399999999999995
6.0,0.7349999999999999
16.0,1.9599999999999997
2.0,0.24499999999999997
21.0,2.5725
62.0,7.594999999999999
2.0,0.24499999999999997
2.0,0.24499999999999997
12.0,1.4699999999999998
2.0,0.24499999999999997
41.0,5.022499999999999
101.0,12.372499999999999
46.0,5.634999999999999
6.0,0.7349999999999999
29.0,3.5524999999999993
8.0,0.9799999999999999
21.0,2.5725
1.0,0.12249999999999998
7.0,0.8574999999999999
1.0,0.12249999999999998
13.0,1.5924999999999998
11.0,1.3475
2.0,0.24499999999999997
8.0,0.9799999999999999
12.0,1.4699999999999998
6.0,0.7349999999999999
53.0,6.492499999999999
25.0,3.0624999999999996
22.0,2.695
81.0,9.9225
15.0,1.8374999999999997
5.0,0.6124999999999999
46.0,5.634999999999999
6.0,0.7349999999999999
31.0,3.7974999999999994
2.0,0.24499999999999997
4.0,0.48999999999999994
14.0,1.7149999999999999
7.0,0.8574999999999999
10.0,1.2249999999999999
10.0,1.2249999999999999
22.0,2.695
4.0,0.48999999999999994
2.0,0.24499999999999997
6.0,0.7349999999999999
4.0,0.48999999999999994
367.0,44.957499999999996
41.0,5.022499999999999
27.0,3.3074999999999997
2.0,0.24499999999999997
134.0,16.415
1.0,0.12249999999999998
