dark_phase_region_area_px,dark_phase_region_area_um2
303.0,37.11749999999999
868.0,106.32999999999998
5.0,0.6124999999999999
482.0,59.044999999999995
818.0,100.20499999999998
28.0,3.4299999999999997
188.0,23.029999999999998
411.0,50.3475
98.0,12.004999999999999
1037.0,127.03249999999998
1699.0,208.12749999999997
437.0,53.53249999999999
446.0,54.63499999999999
221.0,27.072499999999998
350.0,42.87499999999999
111.0,13.597499999999998
152.0,18.619999999999997
218.0,26.704999999999995
79.0,9.677499999999998
1273.0,155.94249999999997
5.0,0.6124999999999999
689.0,84.40249999999999
356.0,43.60999999999999
254.0,31.114999999999995
31.0,3.7974999999999994
14.0,1.7149999999999999
4.0,0.48999999999999994
140.0,17.15
76.0,9.309999999999999
345.0,42.262499999999996
427.0,52.30749999999999
2133.0,261.29249999999996
50.0,6.124999999999999
339.0,41.527499999999996
143.0,17.5175
632.0,77.41999999999999
169.0,20.702499999999997
95.0,11.6375
577.0,70.68249999999999
47.0,5.757499999999999
271.0,33.1975
269.0,32.95249999999999
1112.0,136.21999999999997
6.0,0.7349999999999999
8.0,0.9799999999999999
86.0,10.534999999999998
235.0,28.787499999999998
81.0,9.9225
4.0,0.48999999999999994
8.0,0.9799999999999999
4.0,0.48999999999999994
6.0,0.7349999999999999
133.0,16.292499999999997
123.0,15.067499999999997
783.0,95.91749999999999
254.0,31.114999999999995
92.0,11.269999999999998
67.0,8.2075
125.0,15.312499999999998
70.0,8.575
26.0,3.1849999999999996
52.0,6.369999999999999
128.0,15.679999999999998
229.0,28.052499999999995
224.0,27.439999999999998
52.0,6.369999999999999
449.0,55.00249999999999
106.0,12.984999999999998
29.0,3.5524999999999993
40.0,4.8999999999999995
56.0,6.859999999999999
222.0,27.194999999999997
274.0,33.565
1001.0,122.62249999999999
116.0,14.209999999999997
156.0,19.109999999999996
876.0,107.30999999999999
65.0,7.962499999999999
316.0,38.709999999999994
750.0,91.87499999999999
176.0,21.56
104.0,12.739999999999998
93.0,11.392499999999998
427.0,52.30749999999999
225.0,27.562499999999996
3022.0,370.19499999999994
100.0,12.249999999999998
322.0,39.44499999999999
116.0,14.209999999999997
754.0,92.365
552.0,67.61999999999999
222.0,27.194999999999997
135.0,16.537499999999998
112.0,13.719999999999999
28.0,3.4299999999999997
164.0,20.089999999999996
137.0,16.7825
296.0,36.26
90.0,11.024999999999999
124.0,15.189999999999998
111.0,13.597499999999998
65.0,7.962499999999999
66.0,8.084999999999999
213.0,26.092499999999998
125.0,15.312499999999998
684.0,83.78999999999999
158.0,19.354999999999997
89.0,10.902499999999998
374.0,45.81499999999999
49.0,6.0024999999999995
82.0,10.044999999999998
56.0,6.859999999999999
127.0,15.557499999999997
99.0,12.127499999999998
47.0,5.757499999999999
476.0,58.309999999999995
680.0,83.29999999999998
85.0,10.412499999999998
166.0,20.334999999999997
62.0,7.594999999999999
7.0,0.8574999999999999
315.0,38.58749999999999
34.0,4.164999999999999
4.0,0.48999999999999994
491.0,60.147499999999994
99.0,12.127499999999998
375.0,45.93749999999999
78.0,9.554999999999998
66.0,8.084999999999999
177.0,21.682499999999997
642.0,78.645
73.0,8.942499999999999
167.0,20.457499999999996
46.0,5.634999999999999
31.0,3.7974999999999994
106.0,12.984999999999998
704.0,86.24
123.0,15.067499999999997
406.0,49.73499999999999
1236.0,151.40999999999997
1211.0,148.34749999999997
96.0,11.759999999999998
971.0,118.94749999999999
92.0,11.269999999999998
5.0,0.6124999999999999
313.0,38.342499999999994
195.0,23.887499999999996
14.0,1.7149999999999999
18.0,2.2049999999999996
134.0,16.415
374.0,45.81499999999999
218.0,26.704999999999995
864.0,105.83999999999999
7.0,0.8574999999999999
8.0,0.9799999999999999
4.0,0.48999999999999994
5.0,0.6124999999999999
206.0,25.234999999999996
405.0,49.61249999999999
482.0,59.044999999999995
661.0,80.97249999999998
167.0,20.457499999999996
107.0,13.107499999999998
248.0,30.379999999999995
243.0,29.767499999999995
614.0,75.21499999999999
146.0,17.884999999999998
653.0,79.99249999999999
71.0,8.697499999999998
7.0,0.8574999999999999
64.0,7.839999999999999
295.0,36.137499999999996
27.0,3.3074999999999997
8.0,0.9799999999999999
1155.0,141.48749999999998
115.0,14.087499999999999
60.0,7.349999999999999
69.0,8.452499999999999
207.0,25.357499999999998
60.0,7.349999999999999
730.0,89.42499999999998
5.0,0.6124999999999999
14.0,1.7149999999999999
289.0,35.402499999999996
15.0,1.8374999999999997
41.0,5.022499999999999
97.0,11.882499999999999
239.0,29.277499999999996
134.0,16.415
317.0,38.832499999999996
278.0,34.05499999999999
208.0,25.479999999999997
517.0,63.33249999999999
481.0,58.92249999999999
363.0,44.467499999999994
98.0,12.004999999999999
71.0,8.697499999999998
65.0,7.962499999999999
189.0,23.152499999999996
319.0,39.07749999999999
177.0,21.682499999999997
7.0,0.8574999999999999
47.0,5.757499999999999
518.0,63.45499999999999
28.0,3.4299999999999997
796.0,97.50999999999999
272.0,33.31999999999999
91.0,11.147499999999999
58.0,7.104999999999999
650.0,79.62499999999999
384.0,47.03999999999999
85.0,10.412499999999998
103.0,12.617499999999998
29.0,3.5524999999999993
26.0,3.1849999999999996
11.0,1.3475
115.0,14.087499999999999
6.0,0.7349999999999999
1.0,0.12249999999999998
88.0,10.78
313.0,38.342499999999994
427.0,52.30749999999999
18.0,2.2049999999999996
959.0,117.47749999999998
46.0,5.634999999999999
305.0,37.3625
203.0,24.867499999999996
679.0,83.1775
2.0,0.24499999999999997
146.0,17.884999999999998
528.0,64.67999999999999
61.0,7.472499999999999
1899.0,232.62749999999997
678.0,83.05499999999999
199.0,24.377499999999998
956.0,117.10999999999999
87.0,10.657499999999999
12.0,1.4699999999999998
23.0,2.8174999999999994
306.0,37.48499999999999
17.0,2.0824999999999996
10.0,1.2249999999999999
21.0,2.5725
12.0,1.4699999999999998
2049.0,251.00249999999997
487.0,59.65749999999999
35.0,4.2875
9.0,1.1024999999999998
1427.0,174.80749999999998
26.0,3.1849999999999996
116.0,14.209999999999997
4.0,0.48999999999999994
179.0,21.9275
307.0,37.607499999999995
82.0,10.044999999999998
8.0,0.9799999999999999
30.0,3.6749999999999994
65.0,7.962499999999999
68.0,8.329999999999998
1022.0,125.19499999999998
15.0,1.8374999999999997
24.0,2.9399999999999995
19.0,2.3274999999999997
7.0,0.8574999999999999
478.0,58.55499999999999
36.0,4.409999999999999
307.0,37.607499999999995
18.0,2.2049999999999996
35.0,4.2875
526.0,64.43499999999999
123.0,15.067499999999997
2336.0,286.15999999999997
4.0,0.48999999999999994
284.0,34.78999999999999
221.0,27.072499999999998
48.0,5.879999999999999
1587.0,194.40749999999997
313.0,38.342499999999994
145.0,17.7625
489.0,59.90249999999999
15.0,1.8374999999999997
75.0,9.187499999999998
45.0,5.512499999999999
298.0,36.504999999999995
164.0,20.089999999999996
402.0,49.24499999999999
777.0,95.18249999999999
322.0,39.44499999999999
156.0,19.109999999999996
159.0,19.4775
2.0,0.24499999999999997
494.0,60.51499999999999
401.0,49.122499999999995
52.0,6.369999999999999
119.0,14.577499999999999
133.0,16.292499999999997
135.0,16.537499999999998
69.0,8.452499999999999
159.0,19.4775
68.0,8.329999999999998
226.0,27.684999999999995
116.0,14.209999999999997
72.0,8.819999999999999
763.0,93.46749999999999
144.0,17.639999999999997
66.0,8.084999999999999
120.0,14.699999999999998
289.0,35.402499999999996
134.0,16.415
11.0,1.3475
35.0,4.2875
624.0,76.43999999999998
365.0,44.71249999999999
229.0,28.052499999999995
199.0,24.377499999999998
5.0,0.6124999999999999
11.0,1.3475
50.0,6.124999999999999
381.0,46.67249999999999
3744.0,458.63999999999993
79.0,9.677499999999998
116.0,14.209999999999997
6.0,0.7349999999999999
189.0,23.152499999999996
80.0,9.799999999999999
341.0,41.772499999999994
109.0,13.352499999999997
140.0,17.15
391.0,47.897499999999994
127.0,15.557499999999997
12.0,1.4699999999999998
34.0,4.164999999999999
78.0,9.554999999999998
40.0,4.8999999999999995
13.0,1.5924999999999998
391.0,47.897499999999994
11.0,1.3475
443.0,54.26749999999999
55.0,6.737499999999999
35.0,4.2875
403.0,49.36749999999999
766.0,93.835
234.0,28.664999999999996
413.0,50.592499999999994
929.0,113.80249999999998
37.0,4.5325
54.0,6.614999999999999
91.0,11.147499999999999
1533.0,187.79249999999996
291.0,35.647499999999994
679.0,83.1775
64.0,7.839999999999999
278.0,34.05499999999999
7.0,0.8574999999999999
224.0,27.439999999999998
193.0,23.6425
557.0,68.23249999999999
195.0,23.887499999999996
886.0,108.53499999999998
39.0,4.777499999999999
718.0,87.95499999999998
77.0,9.4325
162.0,19.845
91.0,11.147499999999999
305.0,37.3625
543.0,66.5175
166.0,20.334999999999997
131.0,16.0475
349.0,42.7525
30.0,3.6749999999999994
1.0,0.12249999999999998
117.0,14.332499999999998
110.0,13.474999999999998
115.0,14.087499999999999
260.0,31.849999999999994
491.0,60.147499999999994
141.0,17.272499999999997
337.0,41.28249999999999
128.0,15.679999999999998
1058.0,129.605
143.0,17.5175
309.0,37.85249999999999
35.0,4.2875
136.0,16.659999999999997
52.0,6.369999999999999
19.0,2.3274999999999997
342.0,41.894999999999996
37.0,4.5325
267.0,32.707499999999996
344.0,42.13999999999999
667.0,81.7075
23.0,2.8174999999999994
53.0,6.492499999999999
49.0,6.0024999999999995
397.0,48.63249999999999
49.0,6.0024999999999995
73.0,8.942499999999999
250.0,30.624999999999996
48.0,5.879999999999999
979.0,119.92749999999998
53.0,6.492499999999999
173.0,21.192499999999995
431.0,52.79749999999999
54.0,6.614999999999999
495.0,60.63749999999999
222.0,27.194999999999997
107.0,13.107499999999998
10.0,1.2249999999999999
68.0,8.329999999999998
138.0,16.904999999999998
65.0,7.962499999999999
4.0,0.48999999999999994
180.0,22.049999999999997
52.0,6.369999999999999
15.0,1.8374999999999997
94.0,11.514999999999999
185.0,22.662499999999998
63.0,7.717499999999999
12.0,1.4699999999999998
1027.0,125.80749999999999
20.0,2.4499999999999997
662.0,81.09499999999998
78.0,9.554999999999998
5.0,0.6124999999999999
63.0,7.717499999999999
20.0,2.4499999999999997
24.0,2.9399999999999995
73.0,8.942499999999999
287.0,35.1575
98.0,12.004999999999999
1165.0,142.71249999999998
10.0,1.2249999999999999
8.0,0.9799999999999999
77.0,9.4325
53.0,6.492499999999999
279.0,34.177499999999995
204.0,24.99
78.0,9.554999999999998
311.0,38.0975
552.0,67.61999999999999
662.0,81.09499999999998
604.0,73.99
690.0,84.52499999999999
1331.0,163.04749999999999
318.0,38.955
45.0,5.512499999999999
281.0,34.42249999999999
27.0,3.3074999999999997
153.0,18.742499999999996
64.0,7.839999999999999
18.0,2.2049999999999996
762.0,93.34499999999998
62.0,7.594999999999999
526.0,64.43499999999999
56.0,6.859999999999999
875.0,107.18749999999999
166.0,20.334999999999997
569.0,69.70249999999999
122.0,14.944999999999999
179.0,21.9275
605.0,74.1125
86.0,10.534999999999998
36.0,4.409999999999999
17.0,2.0824999999999996
17.0,2.0824999999999996
15.0,1.8374999999999997
18.0,2.2049999999999996
119.0,14.577499999999999
554.0,67.865
32.0,3.9199999999999995
170.0,20.824999999999996
229.0,28.052499999999995
33.0,4.0424999999999995
74.0,9.065
95.0,11.6375
51.0,6.2475
38.0,4.654999999999999
33.0,4.0424999999999995
4.0,0.48999999999999994
