grain_id,phase_id,phase_name,area_px,area_um2,centroid_x_px,centroid_y_px,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,perimeter_px,equiv_diameter_px
23,0,SecondPhase,254,31.114999999999995,759.0157480314961,31.066929133858267,26,733,37,784,106.49137802864844,17.983404693292407
24,0,SecondPhase,31,3.7974999999999994,273.93548387096774,29.193548387096776,27,270,32,278,18.48528137423857,6.282549314314218
25,0,SecondPhase,14,1.7149999999999999,788.3571428571429,30.357142857142858,28,787,33,791,11.65685424949238,4.222008245644752
26,0,SecondPhase,4,0.48999999999999994,0.0,30.5,29,0,33,1,2.0,2.256758334191025
27,0,SecondPhase,140,17.15,275.47857142857146,47.35,35,267,58,286,60.597979746446654,13.351162356249091
28,0,SecondPhase,76,9.309999999999999,805.5,44.51315789473684,35,799,52,814,47.698484809834994,9.83698151873187
29,0,SecondPhase,345,42.262499999999996,232.27246376811595,50.165217391304346,36,216,66,248,120.36753236814712,20.958712816717327
30,0,SecondPhase,427,52.30749999999999,250.49648711943794,65.96252927400468,38,229,94,274,147.6223663640862,23.31680264534386
31,0,SecondPhase,2133,261.29249999999996,196.30567276136895,100.68073136427567,45,164,158,247,555.6356056934325,52.11352942298288
32,0,SecondPhase,50,6.124999999999999,826.62,52.72,48,823,58,831,26.727922061357855,7.978845608028654
33,0,SecondPhase,339,41.527499999999996,876.6814159292036,54.62241887905605,48,851,61,907,125.59797974644667,20.775663783985824
34,0,SecondPhase,143,17.5175,599.3986013986014,59.91608391608391,51,594,72,606,56.04163056034262,13.493452297211721
35,0,SecondPhase,632,77.41999999999999,282.49525316455697,87.36708860759494,58,251,105,307,222.30865786510142,28.367012395961314
36,0,SecondPhase,169,20.702499999999997,210.49112426035504,75.38461538461539,59,203,90,220,73.42640687119285,14.668929172241665
37,0,SecondPhase,95,11.6375,1003.4736842105264,68.41052631578947,63,996,75,1012,43.420310216782966,10.998079684646791
38,0,SecondPhase,577,70.68249999999999,141.5892547660312,88.64471403812826,64,127,116,157,207.4802307403552,27.104597715372734
39,0,SecondPhase,47,5.757499999999999,669.1489361702128,75.02127659574468,66,665,84,674,38.34924240491749,7.735777827895049
40,0,SecondPhase,271,33.1975,885.8523985239852,82.29151291512915,68,880,97,892,79.94112549695429,18.575465448360347
41,0,SecondPhase,269,32.95249999999999,9.743494423791821,96.00743494423791,72,0,125,18,122.5685424949238,18.5067943613625
42,0,SecondPhase,1112,136.21999999999997,565.1357913669065,121.16726618705036,73,534,168,591,322.23253941935263,37.62768095093692
43,0,SecondPhase,6,0.7349999999999999,600.5,74.5,73,600,77,602,6.414213562373095,2.763953195770684
44,0,SecondPhase,8,0.9799999999999999,628.125,78.125,77,627,80,630,7.414213562373095,3.1915382432114616
