% MTEX ODF
% crystal symmetry: "m-3m"
% specimen symmetry: "1"
% phi1    Phi     phi2    value
65.00000 10.00000 0.00000 0.51624
70.00000 10.00000 0.00000 0.49692
75.00000 10.00000 0.00000 0.47126
80.00000 10.00000 0.00000 0.44748
85.00000 10.00000 0.00000 0.43381
90.00000 10.00000 0.00000 0.42034
95.00000 10.00000 0.00000 0.39598
100.00000 10.00000 0.00000 0.37028
105.00000 10.00000 0.00000 0.36214
110.00000 10.00000 0.00000 0.37786
115.00000 10.00000 0.00000 0.41043
120.00000 10.00000 0.00000 0.45101
125.00000 10.00000 0.00000 0.50317
130.00000 10.00000 0.00000 0.56360
135.00000 10.00000 0.00000 0.59603
140.00000 10.00000 0.00000 0.57463
145.00000 10.00000 0.00000 0.50660
150.00000 10.00000 0.00000 0.44831
155.00000 10.00000 0.00000 0.42638
160.00000 10.00000 0.00000 0.42869
165.00000 10.00000 0.00000 0.44320
170.00000 10.00000 0.00000 0.46904
175.00000 10.00000 0.00000 0.50434
180.00000 10.00000 0.00000 0.52633
185.00000 10.00000 0.00000 0.50921
190.00000 10.00000 0.00000 0.46468
195.00000 10.00000 0.00000 0.42924
200.00000 10.00000 0.00000 0.42104
205.00000 10.00000 0.00000 0.43446
210.00000 10.00000 0.00000 0.45881
215.00000 10.00000 0.00000 0.49330
220.00000 10.00000 0.00000 0.52810
225.00000 10.00000 0.00000 0.54333
230.00000 10.00000 0.00000 0.52985
235.00000 10.00000 0.00000 0.47156
240.00000 10.00000 0.00000 0.41858
245.00000 10.00000 0.00000 0.39440
250.00000 10.00000 0.00000 0.38513
255.00000 10.00000 0.00000 0.38360
260.00000 10.00000 0.00000 0.39638
265.00000 10.00000 0.00000 0.42672
270.00000 10.00000 0.00000 0.45773
275.00000 10.00000 0.00000 0.46593
280.00000 10.00000 0.00000 0.45542
285.00000 10.00000 0.00000 0.45435
290.00000 10.00000 0.00000 0.48012
295.00000 10.00000 0.00000 0.52606
300.00000 10.00000 0.00000 0.57596
305.00000 10.00000 0.00000 0.62915
310.00000 10.00000 0.00000 0.66432
315.00000 10.00000 0.00000 0.65586
320.00000 10.00000 0.00000 0.64614
325.00000 10.00000 0.00000 0.59211
330.00000 10.00000 0.00000 0.53858
335.00000 10.00000 0.00000 0.52957
340.00000 10.00000 0.00000 0.55062
345.00000 10.00000 0.00000 0.58235
350.00000 10.00000 0.00000 0.61964
355.00000 10.00000 0.00000 0.65820
0.00000 15.00000 0.00000 0.64718
5.00000 15.00000 0.00000 0.63620
10.00000 15.00000 0.00000 0.60085
15.00000 15.00000 0.00000 0.57906
20.00000 15.00000 0.00000 0.58725
25.00000 15.00000 0.00000 0.61644
30.00000 15.00000 0.00000 0.65696
35.00000 15.00000 0.00000 0.71830
40.00000 15.00000 0.00000 0.80321
45.00000 15.00000 0.00000 0.85837
50.00000 15.00000 0.00000 0.82562
55.00000 15.00000 0.00000 0.74795
60.00000 15.00000 0.00000 0.69430
65.00000 15.00000 0.00000 0.66301
70.00000 15.00000 0.00000 0.62367
75.00000 15.00000 0.00000 0.56947
80.00000 15.00000 0.00000 0.52459
85.00000 15.00000 0.00000 0.50457
90.00000 15.00000 0.00000 0.49042
95.00000 15.00000 0.00000 0.45939
100.00000 15.00000 0.00000 0.42269
105.00000 15.00000 0.00000 0.40864
110.00000 15.00000 0.00000 0.42676
115.00000 15.00000 0.00000 0.46395
120.00000 15.00000 0.00000 0.50483
125.00000 15.00000 0.00000 0.55411
130.00000 15.00000 0.00000 0.61799
135.00000 15.00000 0.00000 0.65668
140.00000 15.00000 0.00000 0.62390
145.00000 15.00000 0.00000 0.54649
150.00000 15.00000 0.00000 0.48922
155.00000 15.00000 0.00000 0.47556
160.00000 15.00000 0.00000 0.49410
165.00000 15.00000 0.00000 0.53151
170.00000 15.00000 0.00000 0.58467
175.00000 15.00000 0.00000 0.64782
180.00000 15.00000 0.00000 0.68375
185.00000 15.00000 0.00000 0.65350
190.00000 15.00000 0.00000 0.57714
195.00000 15.00000 0.00000 0.50998
200.00000 15.00000 0.00000 0.47864
205.00000 15.00000 0.00000 0.47603
210.00000 15.00000 0.00000 0.48886
215.00000 15.00000 0.00000 0.51634
220.00000 15.00000 0.00000 0.55934
225.00000 15.00000 0.00000 0.59151
230.00000 15.00000 0.00000 0.57439
235.00000 15.00000 0.00000 0.51459
240.00000 15.00000 0.00000 0.46572
245.00000 15.00000 0.00000 0.44612
250.00000 15.00000 0.00000 0.44073
255.00000 15.00000 0.00000 0.43984
260.00000 15.00000 0.00000 0.45249
265.00000 15.00000 0.00000 0.49007
270.00000 15.00000 0.00000 0.54051
275.00000 15.00000 0.00000 0.57524
280.00000 15.00000 0.00000 0.58641
285.00000 15.00000 0.00000 0.59763
290.00000 15.00000 0.00000 0.62906
295.00000 15.00000 0.00000 0.67827
300.00000 15.00000 0.00000 0.73003
305.00000 15.00000 0.00000 0.78311
310.00000 15.00000 0.00000 0.80585
315.00000 15.00000 0.00000 0.75923
320.00000 15.00000 0.00000 0.71811
325.00000 15.00000 0.00000 0.64509
330.00000 15.00000 0.00000 0.57185
335.00000 15.00000 0.00000 0.54516
340.00000 15.00000 0.00000 0.55065
345.00000 15.00000 0.00000 0.56710
350.00000 15.00000 0.00000 0.59019
355.00000 15.00000 0.00000 0.62309
0.00000 20.00000 0.00000 0.51681
5.00000 20.00000 0.00000 0.52373
10.00000 20.00000 0.00000 0.51231
15.00000 20.00000 0.00000 0.51412
20.00000 20.00000 0.00000 0.54813
25.00000 20.00000 0.00000 0.60805
30.00000 20.00000 0.00000 0.68511
35.00000 20.00000 0.00000 0.78996
40.00000 20.00000 0.00000 0.93139
45.00000 20.00000 0.00000 1.05443
50.00000 20.00000 0.00000 1.07651
55.00000 20.00000 0.00000 1.02430
60.00000 20.00000 0.00000 0.97505
65.00000 20.00000 0.00000 0.92916
70.00000 20.00000 0.00000 0.85491
75.00000 20.00000 0.00000 0.76057
80.00000 20.00000 0.00000 0.69210
85.00000 20.00000 0.00000 0.66728
90.00000 20.00000 0.00000 0.64937
95.00000 20.00000 0.00000 0.60221
100.00000 20.00000 0.00000 0.54241
105.00000 20.00000 0.00000 0.51523
110.00000 20.00000 0.00000 0.53723
115.00000 20.00000 0.00000 0.58374
120.00000 20.00000 0.00000 0.62028
125.00000 20.00000 0.00000 0.64831
130.00000 20.00000 0.00000 0.68743
135.00000 20.00000 0.00000 0.70446
140.00000 20.00000 0.00000 0.65363
145.00000 20.00000 0.00000 0.56633
150.00000 20.00000 0.00000 0.50454
155.00000 20.00000 0.00000 0.48884
160.00000 20.00000 0.00000 0.50704
165.00000 20.00000 0.00000 0.54494
170.00000 20.00000 0.00000 0.60059
175.00000 20.00000 0.00000 0.66754
180.00000 20.00000 0.00000 0.70216
185.00000 20.00000 0.00000 0.66346
190.00000 20.00000 0.00000 0.58024
195.00000 20.00000 0.00000 0.51229
200.00000 20.00000 0.00000 0.48366
205.00000 20.00000 0.00000 0.48359
210.00000 20.00000 0.00000 0.49720
215.00000 20.00000 0.00000 0.52557
220.00000 20.00000 0.00000 0.57760
225.00000 20.00000 0.00000 0.63462
230.00000 20.00000 0.00000 0.64707
235.00000 20.00000 0.00000 0.60932
240.00000 20.00000 0.00000 0.57481
245.00000 20.00000 0.00000 0.57194
250.00000 20.00000 0.00000 0.58201
255.00000 20.00000 0.00000 0.58476
260.00000 20.00000 0.00000 0.59548
265.00000 20.00000 0.00000 0.64126
270.00000 20.00000 0.00000 0.71642
275.00000 20.00000 0.00000 0.78351
280.00000 20.00000 0.00000 0.82649
285.00000 20.00000 0.00000 0.86906
290.00000 20.00000 0.00000 0.92909
295.00000 20.00000 0.00000 0.99096
300.00000 20.00000 0.00000 1.03332
305.00000 20.00000 0.00000 1.06603
310.00000 20.00000 0.00000 1.05976
315.00000 20.00000 0.00000 0.94719
320.00000 20.00000 0.00000 0.82308
325.00000 20.00000 0.00000 0.69405
330.00000 20.00000 0.00000 0.57948
335.00000 20.00000 0.00000 0.51899
340.00000 20.00000 0.00000 0.49286
345.00000 20.00000 0.00000 0.47827
350.00000 20.00000 0.00000 0.47462
355.00000 20.00000 0.00000 0.49125
0.00000 25.00000 0.00000 0.44361
5.00000 25.00000 0.00000 0.45156
10.00000 25.00000 0.00000 0.45042
15.00000 25.00000 0.00000 0.47180
20.00000 25.00000 0.00000 0.53397
25.00000 25.00000 0.00000 0.63318
30.00000 25.00000 0.00000 0.76554
35.00000 25.00000 0.00000 0.94563
40.00000 25.00000 0.00000 1.18691
45.00000 25.00000 0.00000 1.42757
50.00000 25.00000 0.00000 1.54496
55.00000 25.00000 0.00000 1.53193
60.00000 25.00000 0.00000 1.47785
65.00000 25.00000 0.00000 1.39645
70.00000 25.00000 0.00000 1.26772
75.00000 25.00000 0.00000 1.12544
80.00000 25.00000 0.00000 1.02986
85.00000 25.00000 0.00000 0.99157
90.00000 25.00000 0.00000 0.95849
95.00000 25.00000 0.00000 0.88719
100.00000 25.00000 0.00000 0.80091
105.00000 25.00000 0.00000 0.75798
110.00000 25.00000 0.00000 0.78364
115.00000 25.00000 0.00000 0.84181
120.00000 25.00000 0.00000 0.87182
125.00000 25.00000 0.00000 0.86581
130.00000 25.00000 0.00000 0.85452
135.00000 25.00000 0.00000 0.81815
140.00000 25.00000 0.00000 0.72634
145.00000 25.00000 0.00000 0.61342
150.00000 25.00000 0.00000 0.53111
155.00000 25.00000 0.00000 0.49427
160.00000 25.00000 0.00000 0.49027
165.00000 25.00000 0.00000 0.50498
170.00000 25.00000 0.00000 0.53687
175.00000 25.00000 0.00000 0.58245
180.00000 25.00000 0.00000 0.60487
185.00000 25.00000 0.00000 0.57156
190.00000 25.00000 0.00000 0.51119
195.00000 25.00000 0.00000 0.47187
200.00000 25.00000 0.00000 0.46804
205.00000 25.00000 0.00000 0.48836
210.00000 25.00000 0.00000 0.52139
215.00000 25.00000 0.00000 0.56966
220.00000 25.00000 0.00000 0.64882
225.00000 25.00000 0.00000 0.75254
230.00000 25.00000 0.00000 0.82470
235.00000 25.00000 0.00000 0.83370
240.00000 25.00000 0.00000 0.83023
245.00000 25.00000 0.00000 0.86015
250.00000 25.00000 0.00000 0.89584
255.00000 25.00000 0.00000 0.90224
260.00000 25.00000 0.00000 0.90792
265.00000 25.00000 0.00000 0.96305
270.00000 25.00000 0.00000 1.06525
275.00000 25.00000 0.00000 1.16668
280.00000 25.00000 0.00000 1.25059
285.00000 25.00000 0.00000 1.35335
290.00000 25.00000 0.00000 1.48883
295.00000 25.00000 0.00000 1.59977
300.00000 25.00000 0.00000 1.62975
305.00000 25.00000 0.00000 1.61018
310.00000 25.00000 0.00000 1.52333
315.00000 25.00000 0.00000 1.29065
320.00000 25.00000 0.00000 1.04795
325.00000 25.00000 0.00000 0.82718
330.00000 25.00000 0.00000 0.64069
335.00000 25.00000 0.00000 0.53149
340.00000 25.00000 0.00000 0.47368
345.00000 25.00000 0.00000 0.43679
350.00000 25.00000 0.00000 0.41768
355.00000 25.00000 0.00000 0.42382
0.00000 30.00000 0.00000 0.49363
5.00000 30.00000 0.00000 0.49363
10.00000 30.00000 0.00000 0.49350
15.00000 30.00000 0.00000 0.52765
20.00000 30.00000 0.00000 0.61297
25.00000 30.00000 0.00000 0.75155
30.00000 30.00000 0.00000 0.95517
35.00000 30.00000 0.00000 1.24849
40.00000 30.00000 0.00000 1.63429
45.00000 30.00000 0.00000 2.03260
50.00000 30.00000 0.00000 2.28716
55.00000 30.00000 0.00000 2.34404
60.00000 30.00000 0.00000 2.29106
65.00000 30.00000 0.00000 2.16463
70.00000 30.00000 0.00000 1.97675
75.00000 30.00000 0.00000 1.78878
80.00000 30.00000 0.00000 1.66151
85.00000 30.00000 0.00000 1.59557
90.00000 30.00000 0.00000 1.53491
95.00000 30.00000 0.00000 1.43956
100.00000 30.00000 0.00000 1.34021
105.00000 30.00000 0.00000 1.29323
110.00000 30.00000 0.00000 1.31968
115.00000 30.00000 0.00000 1.37815
120.00000 30.00000 0.00000 1.39338
125.00000 30.00000 0.00000 1.34659
130.00000 30.00000 0.00000 1.25967
135.00000 30.00000 0.00000 1.12426
140.00000 30.00000 0.00000 0.94598
145.00000 30.00000 0.00000 0.77138
150.00000 30.00000 0.00000 0.63999
155.00000 30.00000 0.00000 0.56224
160.00000 30.00000 0.00000 0.52670
165.00000 30.00000 0.00000 0.51732
170.00000 30.00000 0.00000 0.52772
175.00000 30.00000 0.00000 0.55309
180.00000 30.00000 0.00000 0.56661
185.00000 30.00000 0.00000 0.54488
190.00000 30.00000 0.00000 0.51062
195.00000 30.00000 0.00000 0.49773
200.00000 30.00000 0.00000 0.51488
205.00000 30.00000 0.00000 0.55789
210.00000 30.00000 0.00000 0.62477
215.00000 30.00000 0.00000 0.72120
220.00000 30.00000 0.00000 0.86009
225.00000 30.00000 0.00000 1.04148
230.00000 30.00000 0.00000 1.20972
235.00000 30.00000 0.00000 1.30879
240.00000 30.00000 0.00000 1.37641
245.00000 30.00000 0.00000 1.45947
250.00000 30.00000 0.00000 1.52288
255.00000 30.00000 0.00000 1.53208
260.00000 30.00000 0.00000 1.53814
265.00000 30.00000 0.00000 1.60781
270.00000 30.00000 0.00000 1.73122
275.00000 30.00000 0.00000 1.85813
280.00000 30.00000 0.00000 1.98977
285.00000 30.00000 0.00000 2.17921
290.00000 30.00000 0.00000 2.42771
295.00000 30.00000 0.00000 2.62127
300.00000 30.00000 0.00000 2.63930
305.00000 30.00000 0.00000 2.51806
310.00000 30.00000 0.00000 2.25584
315.00000 30.00000 0.00000 1.80828
320.00000 30.00000 0.00000 1.42581
325.00000 30.00000 0.00000 1.10232
330.00000 30.00000 0.00000 0.80979
335.00000 30.00000 0.00000 0.63111
340.00000 30.00000 0.00000 0.54052
345.00000 30.00000 0.00000 0.49437
350.00000 30.00000 0.00000 0.47554
355.00000 30.00000 0.00000 0.48060
0.00000 35.00000 0.00000 0.66591
5.00000 35.00000 0.00000 0.65483
10.00000 35.00000 0.00000 0.65338
15.00000 35.00000 0.00000 0.69406
20.00000 35.00000 0.00000 0.79028
25.00000 35.00000 0.00000 0.95891
30.00000 35.00000 0.00000 1.23843
35.00000 35.00000 0.00000 1.66318
40.00000 35.00000 0.00000 2.18366
45.00000 35.00000 0.00000 2.71908
50.00000 35.00000 0.00000 3.17992
55.00000 35.00000 0.00000 3.39420
60.00000 35.00000 0.00000 3.40878
65.00000 35.00000 0.00000 3.28926
70.00000 35.00000 0.00000 3.08664
75.00000 35.00000 0.00000 2.88735
80.00000 35.00000 0.00000 2.75028
85.00000 35.00000 0.00000 2.66392
90.00000 35.00000 0.00000 2.57544
95.00000 35.00000 0.00000 2.46368
